标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,17,,
#,1,鲱鱼味的北海,正常,左,这是我们游戏开发的一个期末作业,2,,
#,2,鲱鱼味的北海,正常,左,终于做完了,3,,
#,3,鲱鱼味的北海,正常,左,Ayakouji主要负责文本和找素材,4,,
#,4,鲱鱼味的北海,正常,左,我的两个搭档都不知道什么是车万啊啊,5,,
#,5,鲱鱼味的北海,正常,左,不过在我的拷打下写了一点，ooc致歉,6,,
#,6,鲱鱼味的北海,正常,左,Some负责一些画图和文本,7,,
#,7,鲱鱼味的北海,正常,左,我负责代码和场景搭建,8,,
#,8,鲱鱼味的北海,正常,左,Unity是什么，我完全不会啊，累死我了,9,,
#,9,鲱鱼味的北海,正常,左,不过这坨东西终于是做完了,10,,
#,10,鲱鱼味的北海,正常,左,好像除了像素小人图和第一关的一些瓦片素材，其他都是网上找的素材,11,,
#,11,鲱鱼味的北海,正常,左,立绘是Dairi老师的画，嘿嘿真好看,12,,
#,12,鲱鱼味的北海,正常,左,期末太忙了，最后一周通宵了三天肝出来的，我承认它是依托，呜呜呜,13,,
#,13,鲱鱼味的北海,正常,左,不过也算是圆我一个从初中到现在的小小梦想了,14,,
#,14,鲱鱼味的北海,正常,左,所以是HE吗，哈哈哈,15,,
#,15,鲱鱼味的北海,正常,左,期末复习去了，我的寄网，os，编译原理还没复习啊啊啊啊,16,,
END,16,,,,,,,
START,17,,,,,,,
#,18,鲱鱼味的北海,正常,左,期末咋办啊啊啊啊啊啊啊,19,,
BREAK,19,,,,,,,
