标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,13,,
#,1,芙兰朵露,笑,左,小夜雀，你好啊！,2,,
#,2,米斯蒂娅,正常,右,你好啊，芙兰。,3,,
#,3,芙兰朵露,惊讶,左,小夜雀，你怎么愁眉苦脸的，发生什么事了？,4,,
#,4,米斯蒂娅,正常,右,做元宵用的糯米不太够了，商贩也迟迟不来......,5,,
#,5,米斯蒂娅,正常,右,这样下去，恐怕是没法让大家都吃上元宵了。,6,,
#,6,芙兰朵露,惊讶,左,这样啊......,7,,
#,7,芙兰朵露,笑,左,这样吧，我来帮你收集一些糯米吧！,8,,
#,8,米斯蒂娅,惊讶,右,真的吗？,9,,
#,9,米斯蒂娅,笑,右,那就太谢谢你了，我现在还需要5份糯米。,10,,
#,10,芙兰朵露,笑,左,没问题，交给我吧！,11,,
#,11,米斯蒂娅,笑,右,那我等你的好消息！,12,,
END,12,,,,,,,
START,13,,,,,15,,
#,14,米斯蒂娅,笑,右,等元宵出锅了，先给芙兰来一碗最热乎的！,15,,
MISSION,15,,,,,21,5|糯米,
#,16,米斯蒂娅,惊讶,右,哇，好新鲜糯米，真的是太谢谢你了！,17,,
#,17,芙兰朵露,笑,左,这没什么，小事情而已......,18,,
#,18,米斯蒂娅,笑,右,材料有了，那我就先去做元宵了，咱们之后见！,19,,
#,19,芙兰朵露,笑,左,嗯,20,,
END,20,,,,,,,
START,21,,,,,27,,
#,22,米斯蒂娅,笑,右,元宵出锅了，来给你一些,23,,5|元宵
#,23,芙兰朵露,惊讶,左,元宵，热腾腾的，一看就很好吃,24,,
#,24,芙兰朵露,笑,左,谢谢你啦，小夜雀,25,,
#,25,米斯蒂娅,笑,右,不客气呢,26,,
END,26,,,,,,,
START,27,,,,,,,
#,28,米斯蒂娅,笑,右,有空多来店里吃饭啊,29,,
BREAK,29,,,,,,,
