标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,16,,
#,1,露米娅,晕,左,呃呃呃......,2,,
#,2,芙兰朵露,惊讶,右,你没事吧！？,3,,
#,3,露米娅,晕,左,呃呃呃......，谁啊？,4,,
#,4,芙兰朵露,惊讶,右,你没事吧？有什么我能帮你的吗？,5,,
#,5,露米娅,晕,左,我没事，只是不小心撞到树了......,6,,
#,6,露米娅,晕,左,现在好点了,7,,
#,7,芙兰朵露,思考,右,到底发生什么事情了？,8,,
#,8,露米娅,思考,左,刚刚我在给挂灯笼的时候，那个红色的家伙吓了我一跳！,9,,
#,9,露米娅,思考,左,然后我就用黑暗包裹住自己赶紧跑了，没想到一路上磕磕碰碰把灯笼撒了一地。,10,,
#,10,露米娅,哭,左,最后还因为在黑暗中看不清路撞树上了，倒霉......,11,,
#,11,露米娅,笑,左,你能帮我一起找找吗？,12,,
#,12,露米娅,思考,左,我好像弄丢了7个灯笼，这些还要赶紧挂树上的。,13,,
#,13,芙兰朵露,惊讶,右,这一路下来还真是不容易呢...,14,,
#,14,芙兰朵露,笑,右,没问题，就包在我身上吧！,15,,
END,15,,,,,,,
START,16,,,,,18,,
#,17,露米娅,思考,左,我看不见别人，别人是不是也看不见我呢,18,,
MISSION,18,,,,,25,7|灯笼,
#,19,露米娅,惊讶,左,没想到你还真找到了，你看来是个很聪明的人呢,20,,
#,20,芙兰朵露,思考,右,这其中有什么关联吗？,21,,
#,21,露米娅,笑,左,总之，你帮了我一个大忙，我该怎么感谢你呢？,22,,
#,22,芙兰朵露,笑,右,还真有点想问的，你知道魔法森林怎么走吗？,23,,
#,23,露米娅,笑,左,那当然，我带你去吧！,24,,
END,24,,,,,,,
START,25,,,,,,,
#,26,露米娅,笑,左,前面贴墙往上爬，再往前走，能够从地洞快速到魔法森林，这可是我的独家密道！,27,,
BREAK,27,,,,,,,
