标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,11,,
#,1,芙兰朵露,笑,右,魔理沙！我来找你了！,2,,
#,2,雾雨魔理沙,惊讶,左,啊是芙兰啊！我现在准备去找粽叶呢，马上要到端午节了。,3,,
#,3,芙兰朵露,思考,右,粽叶...这些应该长在河边吧。,4,,
#,4,雾雨魔理沙,笑,左,对啊，有了粽叶就能煮香喷喷的粽子啦！,5,,
#,5,芙兰朵露,笑,右,听起来很不错呢，要不要我帮你一起收集？,6,,
#,6,雾雨魔理沙,笑,左,真的吗？那太感谢了！帮我收集5个【粽叶】吧！,7,,
#,7,雾雨魔理沙,思考,左,不过要是看到发光的蘑菇记得叫我...,8,,
#,8,芙兰朵露,惊讶,右,啊？为什么？,9,,
#,9,雾雨魔理沙,得意,左,那可是稀有品种！我的蘑菇图鉴就差那个了！,10,,
END,10,,,,,,,
START,11,,,,,13,,
#,12,雾雨魔理沙,正常,左,研究魔法对我来说不仅仅是享受，它还是学习、成长和变强的过程。,13,,
MISSION,13,,,,,22,5|粽叶,
#,14,芙兰朵露,得意,右,魔理沙！我找到好多粽叶和艾草了！,15,,
#,15,雾雨魔理沙,笑,左,哇！比我找到的多多了！,16,,
#,16,雾雨魔理沙,笑,左,作为感谢，这个蘑菇送你。,17,,
#,17,芙兰朵露,惊讶,右,这不是你一直在找的...,18,,
#,18,雾雨魔理沙,得意,左,其实刚才已经找到了两个啦！这就是收集家的直觉！,19,,
#,19,芙兰朵露,笑,右,谢谢你！下次需要帮忙随时叫我哦~,20,,1|发光蘑菇
#,20,雾雨魔理沙,笑,左,一定一定！咱们两什么关系。,21,,
END,21,,,,,,,
START,22,,,,,,,
#,23,雾雨魔理沙,笑,左,听说最近妖怪之山在办登高大会，你有空的话可以去玩玩啊。走雾雨魔法店后山就到了。,24,,
BREAK,24,,,,,,,
