标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,10,,
#,1,东风谷早苗,无奈,右,啊，糟糕了！坚果的数量完全不够……这样下去，预定要分发的重阳糕就做不出来了！,2,,
#,2,芙兰朵露,正常,左,那个……你好？是遇到什么麻烦了吗？,3,,
#,3,东风谷早苗,惊讶,右,哇！您、您好！我是守矢神社的风祝，东风谷早苗。非常抱歉，我正在为收集信仰用的重阳糕发愁。,4,,
#,4,芙兰朵露,正常,左,收集信仰？,5,,
#,5,东风谷早苗,正常,右,是的！为了让大家感受到我们神社神明的恩惠！……啊，说远了。总之，我还差一些【坚果】才能开工。,6,,
#,6,芙兰朵露,笑,左,听起来很有趣！我来帮你收集吧！,7,,
#,7,东风谷早苗,笑,右,真的吗？！太感谢您了，您真是个好人！那拜托您收集5份【坚果】！,8,,
#,8,芙兰朵露,笑,左,包在我身上！,9,,
END,9,,,,,,,
START,10,,,,,12,,
#,11,东风谷早苗,正常,右,为了伟大的信仰传播事业，坚果的收集就拜托您了！,12,,
MISSION,12,,,,,20,5|坚果,
#,13,芙兰朵露,笑,左,早苗小姐，我把坚果都带回来啦！,14,,
#,14,东风谷早苗,笑,右,哇！真是品质上好的坚果！这下我的传教用重阳糕就完美了！非常感谢您的帮助！,15,,
#,15,东风谷早苗,得意,右,为了表示感谢，请允许我为您献上我们守矢神社的特别祝词！愿神奈子大人与诹访子大人的神光与您同在……,16,,
#,16,东风谷早苗,正常,右,……对了客人，您对我们守矢神社的信仰有兴趣吗？现在加入，我们还附赠一张九折优惠券哦！,17,,
#,17,芙兰朵露,尴尬,左,啊……这个……谢谢，不过暂时不用了……,18,,
#,18,东风谷早苗,尴尬,右,啊，抱歉抱歉，一不小心就进入传教模式了……总之，真的非常感谢！有空请务必来山顶的神社玩哦！,19,,
END,19,,,,,,,
START,20,,,,,,,
#,21,东风谷早苗,笑,右,啊，是您！又见面了！如果您有空的话，请务必来山顶的守矢神社参观哦！,22,,
BREAK,22,,,,,,,
