标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,10,,
#,1,射命丸文,无奈,右,（唉声叹气）怎么办怎么办……菊花还差好多，我的头条新闻也还没影子……,2,,
#,2,芙兰朵露,正常,左,那个，你好呀！,3,,
#,3,射命丸文,惊讶,右,哇！吓我一跳！你谁呀？……哦哦，看你这身打扮，是外来的客人吧？我是射命丸文，幻想乡最速记者，请多指教！,4,,
#,4,芙兰朵露,正常,左,记者？你好，我叫芙兰。你刚才好像很烦恼的样子，是遇到什么困难了吗？,5,,
#,5,射命丸文,无奈,右,唉，被你听到了吗……是上面要办登高会，需要好多菊花，可我忙着构思下一篇大新闻，根本没空嘛！,6,,
#,6,射命丸文,得意,右,（眼珠一转）我看你骨骼惊奇，绝非凡人，正好有个能让你大显身手的好机会……,7,,
#,7,芙兰朵露,笑,左,好呀好呀！冒险就是要互相帮助才对！,8,,
#,8,射命丸文,得意,右,太好了！我就知道你是个好人！那拜托你收集5份【深秋菊花】啦，山崖边上到处都是！,9,,
END,9,,,,,,,
START,10,,,,,12,,
#,11,射命丸文,正常,右,菊花的收集就拜托你了哦！这可是关乎我能不能安心摸鱼……啊不，关乎登高会能否顺利举办的大事！,12,,
MISSION,12,,,,,20,5|深秋菊花,
#,13,射命丸文,惊讶,右,哇，这么快就收集好了吗？你真是个行动派！,14,,
#,14,芙兰朵露,笑,左,嗯！都在这里了！,15,,
#,15,射命丸文,笑,右,了不起！品质都很不错，这下我总算能交差了。多亏了你，不然我的独家新闻就要飞走了！,16,,
#,16,射命丸文,笑,右,为了感谢你，这个【重阳糕】请收下吧，是椛刚做好的哦！,17,,1|重阳糕
#,17,芙兰朵露,笑,左,谢谢你，文文！,18,,
#,18,射命丸文,笑,右,不客气！那我等下就去交差了，之后再见！,19,,
END,19,,,,,,,
START,20,,,,,22,,
#,21,射命丸文,无奈,右,奇怪了，相机怎么不见了...,22,,
MISSION,22,,,,,32,1|文文的相机,
#,23,芙兰朵露,笑,左,文文，这个相机是你的吗？,24,,
#,24,射命丸文,惊讶,右,呀——！！我的相机！,25,,
#,25,射命丸文,笑,右,太好了！我还以为再也找不到了！,26,,
#,26,芙兰朵露,笑,左,无意间发现的！我看它掉在地上，肯定是有人弄丢了。,27,,
#,27,射命丸文,得意,右,你真是帮大忙了！为了谢谢你，这个【鸦羽扇】就送给你了！,28,,1|鸦羽扇
#,28,射命丸文,得意,右,只要轻轻一扇，就能让你像我们天狗一样，跑得飞快哦！,29,,
#,29,芙兰朵露,笑,左,哇！好厉害！谢谢你！,30,,
#,30,射命丸文,笑,右,别客气！我得赶紧去拍几张独家照片了，回见！,31,,
END,31,,,,,,,
START,32,,,,,,,
#,33,射命丸文,笑,右,哦，是你啊！多亏了你，我现在干劲十足！正准备去发掘下一条大新闻呢！,34,,
BREAK,34,,,,,,,
