标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,23,,
#,1,芙兰朵露,笑,左,泡完温泉真舒服啊！,2,,
#,2,博丽灵梦,思考,右,所以说，这一切都是你搞的鬼咯,3,,
#,3,八云紫,思考,左,灵梦，怎么能说是我搞的鬼呢，这只是一次小小的“意外”,4,,
#,4,博丽灵梦,思考,右,你说整个幻想乡的大骚动只是一次小！小！的意外？,5,,
#,5,八云紫,无奈,左,幻想乡的大家热热闹闹地过华夏传统节日，这种余兴节目岂不美哉，哈哈哈！,6,,
#,6,博丽灵梦,思考,右,唉，真是服了你了,7,,
#,7,芙兰朵露,笑,左,灵梦？还有冒险路上碰见过的姐姐，你们在这里干什么？,8,,
#,8,博丽灵梦,惊讶,右,哦吼吼？你们还认识？,9,,
#,9,博丽灵梦,思考,右,那就省的我介绍了，芙兰，她就是这次异变的真凶，八云紫,10,,
#,10,八云紫,笑,左,什么真凶不真凶的，搞得我好像做了什么罪无可恕的事情一样,11,,
#,11,芙兰朵露,正常,右,那现在事情是完美解决了吗？,12,,
#,12,芙兰朵露,笑,右,好耶，虽然没有什么参与感，但是芙兰旧地狱的大冒险圆满成功！,13,,
#,13,八云紫,笑,左,对，对啊！可喜可贺，鼓掌鼓掌！,14,,
#,14,博丽灵梦,思考,右,你这家伙，瞎起什么哄啊，无语死了,15,,
#,15,八云紫,正常,左,等过些时日，那东西的力量消退后，幻想乡自然会恢复往日的平静，现在着急也没用,16,,
#,16,八云紫,笑,左,今天就先到这里吧！芙兰，我听你姐姐说你是偷偷跑出来的，早点回家吧,17,,
#,17,芙兰朵露,正常,右,冒险了这么久，确实也该回家了，帕琪和姐姐她们会不会想我呢,18,,
#,18,博丽灵梦,惊讶,左,芙兰，原来你是偷跑出来的，我早该把你抓回去了,19,,
#,19,八云紫,笑,右,小孩子多出来玩玩没什么，别太生气了,20,,
#,20,八云紫,正常,右,芙兰，我现在就用境界的力量把你送回家，你往左走就能看到我的境界之门了，再见啦,21,,
#,21,芙兰朵露,笑,左,再见啦，灵梦，紫姐姐,22,,
END,22,,,,,,,
START,23,,,,,,,
#,24,八云紫,正常,左,怎么了？还对旅途依依不舍吗，现在还是回家更重要哦,25,,
#,25,博丽灵梦,严肃,右,对啊对啊，芙兰，回去吧，你姐姐肯定在担心你,26,,
BREAK,26,,,,,,,
