标志,ID,人物,状态,位置,内容,跳转,解锁条件,效果
START,0,,,,,7,,
#,1,星熊勇仪,笑,右,哟！哪来的小不点？看你的样子，是想进去泡温泉吗？,2,,
#,2,芙兰朵露,笑,左,嗯！可以吗？,3,,
#,3,星熊勇仪,得意,右,哈哈哈！想进去可以，不过我们鬼族有个规矩，得让我瞧瞧你的胆量！,4,,
#,4,星熊勇仪,笑,右,这样吧，你去一趟地灵殿，把她们那个不爱出门的主人，古明地觉，请出来和我们一起过冬至。只要你能说动她，我就放你进去！敢不敢啊？,5,,
#,5,芙兰朵露,笑,左,听起来像个挑战！我接受了！,6,,
END,6,,,,,,,
START,7,,,,,9,,
#,8,星熊勇仪,笑,右,怎么了？不敢去了吗？快去快回，饺子都要凉了！,9,,
MISSION,9,,,,,15,1|古明地觉的亲笔信,
#,10,芙兰朵露,无奈,左,我回来了！那个……她不肯出来，但是给了我这封信！,11,,
#,11,星熊勇仪,无奈,右,哈……我就知道会是这样。那家伙还是老样子，一步都懒得动弹。,12,,
#,12,星熊勇仪,笑,右,不过嘛，你居然真的敢去地灵殿当面邀请她，还能带回一封信来，算你有种！,13,,
#,13,星熊勇仪,笑,右,虽然人没请来，但你的胆量我认可了！约定就是约定，进去吧，好好享受我们旧地狱天下第一的温泉！,14,,1|温泉门票
END,14,,,,,,,
START,15,,,,,,,
#,16,星熊勇仪,笑,右,哟！又见面了啊，小家伙！温泉的感觉怎么样？,17,,
BREAK,17,,,,,,,
